algoritmo,n,tipo,dominio,muestra,tiempo_us,memoria_kb
naive,1024,densa,D0,a,1114135,15724
strassen,1024,densa,D0,a,74674782,36204
naive,1024,densa,D0,b,1240196,15712
strassen,1024,densa,D0,b,73986815,36104
naive,1024,densa,D0,c,986715,15728
strassen,1024,densa,D0,c,69592765,35964
naive,1024,densa,D10,a,827264,15800
strassen,1024,densa,D10,a,61180049,36076
naive,1024,densa,D10,b,813603,15716
strassen,1024,densa,D10,b,62178177,35952
naive,1024,densa,D10,c,852969,15752
strassen,1024,densa,D10,c,61120392,35852
naive,1024,diagonal,D0,a,830454,15752
strassen,1024,diagonal,D0,a,62728473,35868
naive,1024,diagonal,D0,b,827586,15856
strassen,1024,diagonal,D0,b,62525743,35944
naive,1024,diagonal,D0,c,878916,15592
strassen,1024,diagonal,D0,c,61364910,36076
naive,1024,diagonal,D10,a,834936,15852
strassen,1024,diagonal,D10,a,61598364,36004
naive,1024,diagonal,D10,b,833080,15736
strassen,1024,diagonal,D10,b,61608563,36080
naive,1024,diagonal,D10,c,840387,15852
strassen,1024,diagonal,D10,c,61696227,36076
naive,1024,dispersa,D0,a,816060,15648
strassen,1024,dispersa,D0,a,62313729,35968
naive,1024,dispersa,D0,b,809325,15748
strassen,1024,dispersa,D0,b,63115298,35940
naive,1024,dispersa,D0,c,836554,15756
strassen,1024,dispersa,D0,c,64913342,35864
naive,1024,dispersa,D10,a,858038,15856
strassen,1024,dispersa,D10,a,64369094,35980
naive,1024,dispersa,D10,b,824905,15856
strassen,1024,dispersa,D10,b,65172453,35944
naive,1024,dispersa,D10,c,879117,15856
strassen,1024,dispersa,D10,c,67049312,36020
naive,16,densa,D0,a,5,3444
strassen,16,densa,D0,a,567,3444
naive,16,densa,D0,b,3,3444
strassen,16,densa,D0,b,574,3444
naive,16,densa,D0,c,5,3336
strassen,16,densa,D0,c,642,3444
naive,16,densa,D10,a,5,3444
strassen,16,densa,D10,a,565,3444
naive,16,densa,D10,b,4,3332
strassen,16,densa,D10,b,580,3344
naive,16,densa,D10,c,4,3444
strassen,16,densa,D10,c,563,3444
naive,16,diagonal,D0,a,4,3444
strassen,16,diagonal,D0,a,561,3444
naive,16,diagonal,D0,b,4,3444
strassen,16,diagonal,D0,b,606,3444
naive,16,diagonal,D0,c,4,3444
strassen,16,diagonal,D0,c,599,3340
naive,16,diagonal,D10,a,4,3444
strassen,16,diagonal,D10,a,564,3444
naive,16,diagonal,D10,b,4,3344
strassen,16,diagonal,D10,b,562,3344
naive,16,diagonal,D10,c,5,3444
strassen,16,diagonal,D10,c,582,3444
naive,16,dispersa,D0,a,6,3316
strassen,16,dispersa,D0,a,564,3340
naive,16,dispersa,D0,b,4,3444
strassen,16,dispersa,D0,b,597,3440
naive,16,dispersa,D0,c,5,3444
strassen,16,dispersa,D0,c,587,3440
naive,16,dispersa,D10,a,4,3444
strassen,16,dispersa,D10,a,608,3444
naive,16,dispersa,D10,b,4,3440
strassen,16,dispersa,D10,b,585,3444
naive,16,dispersa,D10,c,4,3344
strassen,16,dispersa,D10,c,580,3332
naive,256,densa,D0,a,7092,4200
strassen,256,densa,D0,a,1304895,5652
naive,256,densa,D0,b,6923,4196
strassen,256,densa,D0,b,1320824,5708
naive,256,densa,D0,c,7044,4196
strassen,256,densa,D0,c,1302031,5704
naive,256,densa,D10,a,6811,4296
strassen,256,densa,D10,a,1302480,5604
naive,256,densa,D10,b,7221,4188
strassen,256,densa,D10,b,1282065,5604
naive,256,densa,D10,c,7368,4240
strassen,256,densa,D10,c,1259058,5604
naive,256,diagonal,D0,a,7014,4300
strassen,256,diagonal,D0,a,1316521,5608
naive,256,diagonal,D0,b,7109,4300
strassen,256,diagonal,D0,b,1281756,5708
naive,256,diagonal,D0,c,6762,4300
strassen,256,diagonal,D0,c,1279862,5588
naive,256,diagonal,D10,a,6867,4196
strassen,256,diagonal,D10,a,1250835,5608
naive,256,diagonal,D10,b,6738,4196
strassen,256,diagonal,D10,b,1278742,5608
naive,256,diagonal,D10,c,6907,4292
strassen,256,diagonal,D10,c,1245290,5604
naive,256,dispersa,D0,a,6932,4200
strassen,256,dispersa,D0,a,1284693,5604
naive,256,dispersa,D0,b,7056,4300
strassen,256,dispersa,D0,b,1279768,5708
naive,256,dispersa,D0,c,7012,4240
strassen,256,dispersa,D0,c,1257993,5704
naive,256,dispersa,D10,a,7559,4296
strassen,256,dispersa,D10,a,1285066,5600
naive,256,dispersa,D10,b,6918,4296
strassen,256,dispersa,D10,b,1261276,5708
naive,256,dispersa,D10,c,6873,4288
strassen,256,dispersa,D10,c,1253561,5604
naive,64,densa,D0,a,133,3472
strassen,64,densa,D0,a,30659,3700
naive,64,densa,D0,b,135,3572
strassen,64,densa,D0,b,27832,3644
naive,64,densa,D0,c,134,3572
strassen,64,densa,D0,c,28120,3700
naive,64,densa,D10,a,153,3572
strassen,64,densa,D10,a,28184,3584
naive,64,densa,D10,b,132,3572
strassen,64,densa,D10,b,27908,3600
naive,64,densa,D10,c,133,3572
strassen,64,densa,D10,c,28485,3640
naive,64,diagonal,D0,a,135,3472
strassen,64,diagonal,D0,a,28400,3700
naive,64,diagonal,D0,b,135,3572
strassen,64,diagonal,D0,b,28556,3700
naive,64,diagonal,D0,c,139,3572
strassen,64,diagonal,D0,c,28359,3700
naive,64,diagonal,D10,a,140,3572
strassen,64,diagonal,D10,a,28200,3700
naive,64,diagonal,D10,b,136,3572
strassen,64,diagonal,D10,b,27860,3600
naive,64,diagonal,D10,c,134,3564
strassen,64,diagonal,D10,c,27393,3600
naive,64,dispersa,D0,a,133,3460
strassen,64,dispersa,D0,a,28431,3468
naive,64,dispersa,D0,b,135,3460
strassen,64,dispersa,D0,b,27455,3600
naive,64,dispersa,D0,c,135,3512
strassen,64,dispersa,D0,c,30299,3700
naive,64,dispersa,D10,a,135,3464
strassen,64,dispersa,D10,a,27570,3600
naive,64,dispersa,D10,b,135,3468
strassen,64,dispersa,D10,b,27681,3700
naive,64,dispersa,D10,c,133,3572
strassen,64,dispersa,D10,c,27753,3700
