algoritmo,n,tipo,dominio,muestra,tiempo_us,memoria_kb
sort,10000000,aleatorio,D1,a,235049,81588
mergeSort,10000000,aleatorio,D1,a,454356,81512
quickSort,10000000,aleatorio,D1,a,244507,68952
patienceSort,10000000,aleatorio,D1,a,251698,90164
sort,10000000,aleatorio,D1,b,196782,81556
mergeSort,10000000,aleatorio,D1,b,433954,81656
quickSort,10000000,aleatorio,D1,b,241389,68880
patienceSort,10000000,aleatorio,D1,b,254925,93192
sort,10000000,aleatorio,D1,c,204069,81624
mergeSort,10000000,aleatorio,D1,c,429778,81600
quickSort,10000000,aleatorio,D1,c,223979,68912
patienceSort,10000000,aleatorio,D1,c,248246,88888
sort,10000000,aleatorio,D7,a,726108,81472
mergeSort,10000000,aleatorio,D7,a,1031172,81552
quickSort,10000000,aleatorio,D7,a,852008,68976
patienceSort,10000000,aleatorio,D7,a,1398354,100444
sort,10000000,aleatorio,D7,b,716982,81472
mergeSort,10000000,aleatorio,D7,b,1028304,81576
quickSort,10000000,aleatorio,D7,b,858719,68952
patienceSort,10000000,aleatorio,D7,b,1375154,100616
sort,10000000,aleatorio,D7,c,763373,81360
mergeSort,10000000,aleatorio,D7,c,1121505,81584
quickSort,10000000,aleatorio,D7,c,870600,68724
patienceSort,10000000,aleatorio,D7,c,1580488,100892
sort,10000000,ascendente,D1,a,88235,81488
mergeSort,10000000,ascendente,D1,a,179961,81476
quickSort,10000000,ascendente,D1,a,106396,68872
patienceSort,10000000,ascendente,D1,a,119430,85528
sort,10000000,ascendente,D1,b,94442,81720
mergeSort,10000000,ascendente,D1,b,182339,81724
quickSort,10000000,ascendente,D1,b,131382,68864
patienceSort,10000000,ascendente,D1,b,139293,85472
sort,10000000,ascendente,D1,c,81606,81436
mergeSort,10000000,ascendente,D1,c,173994,81556
quickSort,10000000,ascendente,D1,c,105582,69084
patienceSort,10000000,ascendente,D1,c,108602,85488
sort,10000000,ascendente,D7,a,113546,81600
mergeSort,10000000,ascendente,D7,a,174185,81448
quickSort,10000000,ascendente,D7,a,128196,68916
patienceSort,10000000,ascendente,D7,a,1480736,511656
sort,10000000,ascendente,D7,b,117582,81624
mergeSort,10000000,ascendente,D7,b,174613,81440
quickSort,10000000,ascendente,D7,b,128031,69012
patienceSort,10000000,ascendente,D7,b,1422557,511628
sort,10000000,ascendente,D7,c,118047,81604
mergeSort,10000000,ascendente,D7,c,210558,81624
quickSort,10000000,ascendente,D7,c,127917,68888
patienceSort,10000000,ascendente,D7,c,1424353,511496
sort,10000000,descendente,D1,a,82576,81616
mergeSort,10000000,descendente,D1,a,182444,81448
quickSort,10000000,descendente,D1,a,110817,68872
patienceSort,10000000,descendente,D1,a,104622,108104
sort,10000000,descendente,D1,b,83285,81400
mergeSort,10000000,descendente,D1,b,184599,81488
quickSort,10000000,descendente,D1,b,107465,68824
patienceSort,10000000,descendente,D1,b,108007,108052
sort,10000000,descendente,D1,c,83393,81620
mergeSort,10000000,descendente,D1,c,184014,81612
quickSort,10000000,descendente,D1,c,109034,68896
patienceSort,10000000,descendente,D1,c,102872,108188
sort,10000000,descendente,D7,a,132735,81616
mergeSort,10000000,descendente,D7,a,254832,81408
quickSort,10000000,descendente,D7,a,130882,68968
patienceSort,10000000,descendente,D7,a,101374,108032
sort,10000000,descendente,D7,b,120916,81444
mergeSort,10000000,descendente,D7,b,289037,81468
quickSort,10000000,descendente,D7,b,154965,68916
patienceSort,10000000,descendente,D7,b,126445,107952
sort,10000000,descendente,D7,c,108063,81404
mergeSort,10000000,descendente,D7,c,241048,81576
quickSort,10000000,descendente,D7,c,128986,68924
patienceSort,10000000,descendente,D7,c,112230,108116
sort,100000,aleatorio,D1,a,2089,4416
mergeSort,100000,aleatorio,D1,a,3779,4316
quickSort,100000,aleatorio,D1,a,2363,4028
patienceSort,100000,aleatorio,D1,a,2524,4408
sort,100000,aleatorio,D1,b,1821,4416
mergeSort,100000,aleatorio,D1,b,3921,4348
quickSort,100000,aleatorio,D1,b,2107,4032
patienceSort,100000,aleatorio,D1,b,2893,4380
sort,100000,aleatorio,D1,c,1915,4316
mergeSort,100000,aleatorio,D1,c,4034,4408
quickSort,100000,aleatorio,D1,c,3261,4032
patienceSort,100000,aleatorio,D1,c,3117,4544
sort,100000,aleatorio,D7,a,6251,4312
mergeSort,100000,aleatorio,D7,a,9080,4416
quickSort,100000,aleatorio,D7,a,8654,3972
patienceSort,100000,aleatorio,D7,a,10270,4360
sort,100000,aleatorio,D7,b,7474,4316
mergeSort,100000,aleatorio,D7,b,7943,4340
quickSort,100000,aleatorio,D7,b,7291,4032
patienceSort,100000,aleatorio,D7,b,12238,4312
sort,100000,aleatorio,D7,c,6681,4420
mergeSort,100000,aleatorio,D7,c,9921,4308
quickSort,100000,aleatorio,D7,c,6612,3888
patienceSort,100000,aleatorio,D7,c,10453,4316
sort,100000,ascendente,D1,a,607,4316
mergeSort,100000,ascendente,D1,a,1250,4416
quickSort,100000,ascendente,D1,a,847,3968
patienceSort,100000,ascendente,D1,a,1174,4356
sort,100000,ascendente,D1,b,613,4412
mergeSort,100000,ascendente,D1,b,1300,4364
quickSort,100000,ascendente,D1,b,806,3976
